resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
hakkoda,酸ケ湯,31,1079,1979/80,90.0,265.0,443.0,427.0,173.0,26.0,1424,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1980/81,0,212.0,455.0,239.0,197.0,0,1103,1,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1981/82,161.0,169.0,290.0,313.0,173.0,0,1106,1,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1982/83,106.0,305.0,401.0,383.0,196.0,218.0,1609,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1983/84,249.0,407.0,371.0,492.0,293.0,155.0,1967,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1984/85,167.0,375.0,522.0,450.0,157.0,56.0,1727,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1985/86,181.0,440.0,513.0,445.0,228.0,44.0,1851,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1986/87,240.0,306.0,495.0,425.0,297.0,121.0,1884,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1987/88,170.0,274.0,500.0,561.0,240.0,64.0,1809,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1988/89,200.0,396.0,353.0,204.0,172.0,85.0,1410,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1989/90,88.0,409.0,470.0,120.0,201.0,155.0,1443,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1990/91,45.0,220.0,389.0,413.0,301.0,61.0,1429,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
hakkoda,酸ケ湯,31,1079,1991/92,184.0,390.0,308.0,378.0,210.0,129.0,1599,0,"Sukayu 890m — on-mountain, Japan's deepest snowpack station"
