resort,source,station,station_id,station_m,region,season,oct,nov,dec,jan,feb,mar,apr,may,season_total_cm,incomplete,note
kokusai,jma,小金湯,14-0034,230.0,石狩,2008/09,0.0,73.0,128.0,152.0,192.0,103.0,15.0,0.0,663,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2009/10,0.0,14.0,126.0,164.0,84.0,141.0,23.0,0.0,552,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2010/11,33.0,36.0,111.0,113.0,128.0,125.0,18.0,0.0,564,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2011/12,0.0,57.0,225.0,91.0,102.0,114.0,29.0,0.0,618,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2012/13,0.0,88.0,161.0,126.0,180.0,117.0,36.0,0.0,708,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2013/14,0.0,32.0,182.0,177.0,95.0,108.0,25.0,0.0,619,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2014/15,1.0,52.0,179.0,228.0,109.0,83.0,5.0,0.0,657,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2015/16,4.0,82.0,166.0,146.0,178.0,91.0,13.0,0.0,680,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2016/17,9.0,95.0,225.0,174.0,72.0,91.0,6.0,0.0,672,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2017/18,0.0,101.0,144.0,148.0,107.0,89.0,15.0,0.0,604,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2018/19,0.0,47.0,169.0,169.0,59.0,64.0,28.0,0.0,536,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2019/20,0.0,63.0,121.0,71.0,139.0,78.0,9.0,0.0,481,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2020/21,0.0,30.0,135.0,166.0,126.0,75.0,3.0,0.0,535,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2021/22,0.0,53.0,126.0,229.0,157.0,83.0,6.0,0.0,654,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2022/23,0.0,7.0,217.0,170.0,184.0,25.0,4.0,0.0,607,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2023/24,0.0,82.0,104.0,223.0,82.0,84.0,4.0,0.0,579,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2024/25,0.0,59.0,149.0,107.0,177.0,127.0,8.0,0.0,627,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
kokusai,jma,小金湯,14-0034,230.0,石狩,2025/26,7.0,51.0,141.0,123.0,119.0,85.0,0.0,0.0,526,0,"Koganeyu 230m, in the Jozankei valley; resort elevations not yet filled in"
