resort,station_ja,prec_no,block_no,season,nov,dec,jan,feb,mar,apr,season_total_cm,incomplete,note
kitami,北見,17,0074,1979/80,18.0,60.0,53.0,0,22.0,29.0,182,1,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1980/81,0,0,45.0,12.0,27.0,24.0,108,1,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1981/82,0,0,56.0,5.0,5.0,10.0,76,1,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1982/83,8.0,92.0,88.0,109.0,133.0,6.0,436,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1983/84,0.0,90.0,140.0,91.0,143.0,59.0,523,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1984/85,1.0,60.0,131.0,158.0,76.0,14.0,440,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1985/86,25.0,122.0,120.0,91.0,84.0,21.0,463,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1986/87,65.0,98.0,125.0,71.0,82.0,22.0,463,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1987/88,44.0,123.0,124.0,90.0,113.0,0.0,494,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1988/89,0.0,40.0,145.0,136.0,139.0,23.0,483,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1989/90,2.0,132.0,161.0,77.0,105.0,12.0,489,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1990/91,0.0,41.0,114.0,140.0,119.0,0.0,414,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1991/92,0.0,102.0,152.0,66.0,57.0,0.0,377,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1992/93,10.0,72.0,121.0,132.0,158.0,81.0,574,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1993/94,0.0,43.0,92.0,126.0,89.0,29.0,379,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1994/95,7.0,94.0,109.0,125.0,74.0,39.0,448,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1995/96,21.0,132.0,88.0,73.0,140.0,101.0,555,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1996/97,23.0,150.0,138.0,120.0,78.0,30.0,539,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1997/98,14.0,70.0,119.0,84.0,118.0,13.0,418,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1998/99,64.0,81.0,103.0,81.0,121.0,22.0,472,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,1999/00,10.0,130.0,161.0,83.0,101.0,72.0,557,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2000/01,68.0,147.0,90.0,74.0,87.0,5.0,471,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2001/02,8.0,49.0,109.0,98.0,32.0,0.0,296,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2002/03,15.0,53.0,102.0,38.0,110.0,27.0,345,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2003/04,0.0,92.0,241.0,85.0,50.0,23.0,491,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2004/05,0.0,101.0,97.0,68.0,65.0,28.0,359,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2005/06,0.0,139.0,51.0,61.0,88.0,47.0,386,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2006/07,8.0,84.0,105.0,91.0,52.0,23.0,363,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2007/08,0.0,27.0,63.0,58.0,33.0,22.0,203,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2008/09,8.0,71.0,101.0,100.0,40.0,31.0,351,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2009/10,6.0,39.0,103.0,55.0,76.0,7.0,286,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2010/11,0.0,73.0,80.0,66.0,81.0,0.0,300,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2011/12,0.0,144.0,101.0,71.0,89.0,27.0,432,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2012/13,0.0,154.0,118.0,74.0,70.0,18.0,434,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2013/14,15.0,120.0,82.0,96.0,132.0,48.0,493,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2014/15,0.0,121.0,124.0,157.0,96.0,0.0,498,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2015/16,56.0,53.0,126.0,83.0,52.0,26.0,396,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2016/17,90.0,123.0,109.0,50.0,45.0,6.0,423,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2017/18,28.0,121.0,115.0,87.0,58.0,11.0,420,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2018/19,5.0,79.0,94.0,43.0,54.0,20.0,295,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2019/20,24.0,0.0,65.0,62.0,67.0,16.0,234,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2020/21,0.0,6.0,89.0,34.0,50.0,4.0,183,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2021/22,4.0,26.0,86.0,45.0,78.0,1.0,240,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2022/23,0.0,91.0,40.0,62.0,11.0,0.0,204,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2023/24,1.0,41.0,70.0,58.0,43.0,8.0,221,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2024/25,1.0,27.0,74.0,56.0,65.0,7.0,230,0,北見 station at 104m; resort elevations not yet filled in
kitami,北見,17,0074,2025/26,3.0,98.0,45.0,42.0,42.0,0.0,230,0,北見 station at 104m; resort elevations not yet filled in
